"","Name","2018Ridership","Rank2018","geometry"
"321","Dyckman St",7002,218,c(-73.9255360000647, 40.860531001388)
"322","Dyckman St",6477,235,c(-73.9272709996073, 40.8654909989689)
"323","East Broadway",13868,110,c(-73.990177001222, 40.7138550010204)
"324","Franklin St",5943,256,c(-74.0068860027711, 40.7193180013021)
"325","Fulton St",92990,5,c(-74.0079380011039, 40.7100226665842)
"326","Grand Central-42 St",155345,2,c(-73.9767132992584, 40.7518074298163)
"327","Grand St",23422,53,c(-73.9937529991359, 40.7182669995499)
"328","Harlem-148 St",4074,320,c(-73.9364700000556, 40.8238800008046)
"329","Houston St",15698,88,c(-74.0053670018058, 40.7282510007302)
"330","Inwood-207 St",8793,175,c(-73.9198990010047, 40.8680719999974)
"331","Lexington Av /59 St",55608,14,c(-73.9679670004732, 40.7625260003046)
"332","Lexington Av-53 St /51 St",64499,10,c(-73.969072374902, 40.7574683078287)
"333","Lexington Av-63 St",21394,61,c(-73.9660896441325, 40.7646180944237)
"334","Marble Hill-225 St",5433,273,c(-73.9098309992355, 40.8745609994179)
"335","Prince St",14408,105,c(-73.9977020004599, 40.7243286659757)
"336","Rector St",9005,170,c(-74.0137830011974, 40.7075129995218)
"337","Rector St",7185,212,c(-74.0129745625379, 40.7077447562945)
"338","Roosevelt Island",7153,214,c(-73.9532349997887, 40.7591719996711)
"339","South Ferry /Whitehall St",33797,29,c(-74.0131689591926, 40.7017305075745)
"340","Spring St",10822,144,c(-73.9971410000667, 40.7223009999937)
"341","Spring St",13054,117,c(-74.0037389984376, 40.7262270012931)
"342","Times Sq-42 St /42 St",204017,1,c(-73.9874950005188, 40.7552899999568)
"343","Wall St",23968,52,c(-74.0090999984426, 40.7068209997534)
"344","Wall St",19745,70,c(-74.0118619986011, 40.707557000866)
"345","West 4 St-Washington Sq",40666,22,c(-74.0003081475597, 40.7322544933679)
"346","WTC Cortland",3558,339,c(-74.0121880011229, 40.7118350008202)
"347","103 St-Corona Plaza",19682,71,c(-73.8626999983041, 40.7498650005555)
"348","104 St",1841,401,c(-73.83768300061, 40.6817110010912)
"349","104 St",1587,409,c(-73.8444350002968, 40.6951659982337)
"350","111 St",11091,138,c(-73.8553339983488, 40.7517299994171)
"351","111 St",2596,381,c(-73.8321629984539, 40.6843310000124)
"352","111 St",2819,373,c(-73.836793384547, 40.6971148106965)
"353","121 St",1354,412,c(-73.8283490001795, 40.7004819985153)
"354","169 St",8109,188,c(-73.7934741992772, 40.710517502784)
"355","21 St",1757,405,c(-73.9495999997552, 40.7441286664954)
"356","21 St-Queensbridge",10840,143,c(-73.9419376145745, 40.7537392708755)
"357","30 Av",8286,184,c(-73.9214790001739, 40.766778666733)
"358","33 St-Rawson St",11029,141,c(-73.9309969995384, 40.7445869998399)
"359","36 Av",5073,285,c(-73.929861999118, 40.7564420005104)
"360","36 St",5177,281,c(-73.9290181846154, 40.7519600440108)
"361","39 Av-Dutch kills",2356,387,c(-73.932851376796, 40.7527630614085)
"362","40 St-Lowery St",9954,161,c(-73.9240159984882, 40.7437810014913)
"363","46 St",8752,177,c(-73.9135217499554, 40.7563169526081)
"364","46 St-Bliss St",12828,118,c(-73.9184350010397, 40.7431320006038)
"365","52 St",6001,254,c(-73.9125489989125, 40.7441490010216)
"366","63 Dr-Rego Park",15574,92,c(-73.861618200972, 40.7297639724224)
"367","65 St",3601,337,c(-73.8987883783301, 40.7497195293568)
"368","67 Av",8774,176,c(-73.8528604843491, 40.726505475813)
"369","69 St",4679,301,c(-73.8964029993185, 40.7463249994103)
"370","74-Bway /Jackson Hts-Roosevelt Av",51766,15,c(-73.891298665197, 40.7465396911589)
"371","75 Av",3455,343,c(-73.8369236938716, 40.7180446534874)
"372","75 St-Elderts Ln",3464,342,c(-73.8672879994496, 40.6912900012467)
"373","80 St",4316,317,c(-73.8589920020633, 40.6793710011543)
"374","82 St-Jackson Hts",14626,101,c(-73.8836970007188, 40.7476589995591)
"375","85 St-Forest Pkwy",3699,334,c(-73.8600870000687, 40.692426999661)
"376","88 St",2835,372,c(-73.8514700002609, 40.679843001355)
"377","90 St-Elmhurst Av",16253,84,c(-73.8766129998698, 40.7484080006091)
"378","Aqueduct Racetrack",1901,398,c(-73.8359189996516, 40.6720969991728)
"379","Aqueduct-North Conduit Av",921,417,c(-73.8340579994872, 40.6682340016998)
"380","Astoria Blvd",14425,104,c(-73.9180950010924, 40.7700369994909)
